Date,Close/Last,Volume,Open,High,Low
03/07/2025,174.45,2592465,172.515,174.92,172.42
03/06/2025,172.91,3818560,172.81,173.75,171.835
03/05/2025,174.38,2923779,172.89,174.82,172.1399
03/04/2025,172.94,3521579,175.43,175.73,172.57
03/03/2025,176.49,3933471,178.58,179.1037,175.4235
02/28/2025,178.13,3851959,176.24,178.245,175.22
02/27/2025,175.68,1969475,176.45,177.78,175.59
02/26/2025,176.28,1994078,177.09,177.57,175.821
02/25/2025,176.94,2322500,176.87,177.53,175.89
02/24/2025,176.51,2048086,176.88,177.41,176.31
02/21/2025,176.34,1991329,178.10,178.10,176.13
02/20/2025,178.40,2347917,178.67,178.67,177.39
02/19/2025,179.21,1871876,178.08,179.26,177.93
02/18/2025,178.35,2529357,177.39,178.39,177.0201
02/14/2025,177.37,1765068,178.02,178.47,177.29
02/13/2025,177.78,2739609,176.88,177.92,176.48
02/12/2025,176.50,2700652,176.06,176.87,175.745
02/11/2025,177.49,2638644,176.46,177.51,176.09
02/10/2025,176.85,2249592,176.95,176.95,175.85
02/07/2025,176.20,2652221,177.82,177.84,176.09
02/06/2025,177.34,1716422,178.24,178.24,176.47
02/05/2025,177.58,4199996,176.95,177.635,175.93
02/04/2025,176.18,2285934,175.62,176.46,175.435
02/03/2025,176.18,3780176,174.39,176.779,173.85
01/31/2025,176.70,2599693,177.71,178.2457,176.48
01/30/2025,177.77,2605279,177.01,178.20,176.67
01/29/2025,175.93,2279211,176.16,177.22,175.60
01/28/2025,176.12,1905385,177.53,177.53,175.92
01/27/2025,177.61,3838031,176.22,177.61,176.1694
01/24/2025,177.25,1804260,177.22,177.7601,176.93
01/23/2025,177.30,1723687,176.31,177.30,176.0059
01/22/2025,175.97,2017437,177.11,177.115,175.935
01/21/2025,176.88,2943544,175.49,176.89,175.49
01/17/2025,174.68,2807239,174.32,175.1835,173.956
01/16/2025,173.70,2828194,172.58,173.78,172.19
01/15/2025,172.45,2367930,172.81,173.02,171.92
01/14/2025,170.56,2790222,169.86,170.64,169.15
01/13/2025,169.24,3199867,167.39,169.31,167.36
01/10/2025,167.73,2659383,169.235,169.68,167.5203
01/08/2025,170.16,2055600,169.65,170.25,168.678
01/07/2025,170.00,2218569,170.85,171.31,169.47
01/06/2025,170.12,2368434,170.95,171.7691,169.80
01/03/2025,170.36,1722123,169.79,170.64,169.055
01/02/2025,169.06,2533348,170.30,170.7225,168.32
12/31/2024,169.30,3187069,169.43,169.92,168.625
12/30/2024,168.94,2514884,169.42,169.62,167.84
12/27/2024,170.67,2653504,170.94,171.78,169.89
12/26/2024,171.68,2724756,170.87,171.8287,170.60
12/24/2024,171.30,2054954,170.13,171.36,169.78
12/23/2024,169.88,2699053,169.11,170.0292,168.24
12/20/2024,170.29,3038939,168.16,171.506,167.82
12/19/2024,168.32,2557362,169.84,170.5679,168.28
12/18/2024,168.91,2398127,173.45,173.66,168.84
12/17/2024,173.29,1964302,173.53,173.89,172.85
12/16/2024,174.43,2305616,175.36,175.80,174.23
12/13/2024,175.06,1368092,175.35,175.47,174.65
12/12/2024,174.70,1697112,175.65,175.81,174.685
12/11/2024,175.52,2423550,176.59,176.59,175.46
12/10/2024,176.04,1648406,177.00,177.0875,175.61
12/09/2024,177.24,1716584,178.67,178.765,177.155
12/06/2024,178.30,1532506,179.20,179.2499,178.13
12/05/2024,178.77,1672087,179.28,179.6393,178.70
12/04/2024,179.11,2726070,179.92,179.99,178.5701
12/03/2024,179.72,1646874,181.12,181.14,179.72
12/02/2024,180.66,1866013,181.79,181.95,180.21
11/29/2024,181.87,625429,181.62,182.38,181.555
11/27/2024,181.26,1434546,181.66,182.3295,181.20
11/26/2024,181.34,1559952,181.07,181.5385,180.2586
11/25/2024,181.21,1475171,181.06,181.929,180.76
11/22/2024,180.08,1578918,178.96,180.25,178.85
11/21/2024,178.77,1742054,177.08,179.18,176.68
11/20/2024,176.62,1405817,176.57,176.75,175.49
11/19/2024,176.26,1516248,175.85,176.64,175.15
11/18/2024,176.95,1603876,176.39,177.21,176.08
11/15/2024,176.14,1782406,176.37,176.9493,175.79
11/14/2024,176.74,3231614,178.21,178.265,176.6835
11/13/2024,178.00,1691993,178.06,178.525,177.51
11/12/2024,177.77,1502989,179.23,179.2627,177.46
11/11/2024,179.17,1613065,179.28,180.06,179.06
11/08/2024,178.73,3111186,178.08,179.26,177.7833
11/07/2024,177.71,2115832,178.58,178.62,177.35
11/06/2024,178.24,2753297,178.43,178.53,176.84
11/05/2024,173.57,1910001,171.81,173.61,171.52
11/04/2024,171.75,1635526,172.32,172.65,171.19
11/01/2024,172.20,1267991,173.05,173.7166,172.05
10/31/2024,172.16,1674622,172.99,173.39,172.16
10/30/2024,173.30,1034421,173.05,174.12,172.95
10/29/2024,173.42,1295455,173.89,174.28,173.34
10/28/2024,174.58,1100117,174.03,174.77,174.02
10/25/2024,173.63,1187558,175.57,175.72,173.5001
10/24/2024,174.86,1144978,175.45,175.5652,174.35
10/23/2024,175.46,1167767,175.46,175.99,174.57
10/22/2024,175.86,1975799,175.51,176.14,174.875
10/21/2024,176.12,1633032,177.55,177.82,175.91
10/18/2024,177.82,3218975,177.54,177.91,176.9538
10/17/2024,177.57,1599193,177.99,178.18,177.43
10/16/2024,177.75,1582219,176.84,177.97,176.71
10/15/2024,176.46,1723172,176.93,177.9698,176.32
10/14/2024,177.41,1474550,176.34,177.54,175.97
10/11/2024,176.31,1502406,174.92,176.399,174.784
10/10/2024,174.48,1536601,174.97,175.02,174.12
10/09/2024,175.02,2245725,173.51,175.205,173.20
10/08/2024,173.50,1170350,173.49,173.75,172.89
10/07/2024,173.31,1649286,174.25,174.39,172.79
10/04/2024,174.62,1014846,174.09,174.67,173.27
