Date,Close/Last,Volume,Open,High,Low
03/07/2025,$173.86,27385810,$171.26,$174.97,$170.27
03/06/2025,$172.35,28301950,$170.53,$174.81,$170.50
03/05/2025,$173.02,30954920,$170.52,$173.78,$169.06
03/04/2025,$170.92,45388000,$166.24,$173.2946,$165.80
03/03/2025,$167.01,40770450,$171.925,$173.37,$165.93
02/28/2025,$170.28,48130570,$168.68,$170.61,$166.77
02/27/2025,$168.50,39991020,$173.99,$174.56,$167.94
02/26/2025,$172.73,35431270,$175.07,$176.08,$171.5807
02/25/2025,$175.42,41913410,$178.04,$178.74,$174.6939
02/24/2025,$179.25,29854210,$181.99,$183.12,$178.885
02/21/2025,$179.66,35199240,$185.15,$185.34,$179.08
02/20/2025,$184.56,20441460,$184.80,$185.31,$182.72
02/19/2025,$185.27,19549400,$184.07,$185.46,$183.59
02/18/2025,$183.77,29916680,$185.60,$185.96,$181.7401
02/14/2025,$185.23,20448440,$185.055,$186.40,$184.32
02/13/2025,$186.14,21402520,$184.32,$186.28,$183.14
02/12/2025,$183.61,22072560,$183.22,$185.11,$181.83
02/11/2025,$185.32,21239520,$185.03,$186.94,$184.28
02/10/2025,$186.47,23105650,$187.35,$188.20,$185.86
